AccelX,AccelY,AccelZ,AirbrakesDeploy,Altitude,EndByte,GyroX,GyroY,GyroZ,State,Temperature,Timestamp,Velocity,Voltage
0.04,-0.3,1.1,0,4.433017,0,-3.9,-3.9,1.2,1,21,1258000,236,0
0.06,-0.3,1.1,0,4.433017,0,-3.8,-3.8,1.3,1,21,1258100,236,0
0.06,-0.3,1.1,0,5.3494253,0,-4,-4,1.6,1,21,1258200,236,0
0.05,-0.31,1.1,0,4.433017,0,-4,-4,3.6,1,21,1258300,236,0
0.06,-0.3,1.1,0,4.433017,0,-3.9,-3.9,2.2,1,21,1258400,236,0
0.06,-0.31,1.1,0,4.433017,0,-3.8,-3.8,2.5,1,21,1258500,236,0
0.05,-0.3,1.1,0,4.7661552,0,-3.5,-3.5,3.8,1,21,1258600,236,0
0.04,-0.3,1.1,0,5.3494253,0,-3.3,-3.3,1.3,1,21,1258700,236,0
0.05,-0.29,1.1,0,4.433017,0,-4.2,-4.2,2.5,1,21,1258800,236,0
0.05,-0.31,1.1,0,5.3494253,0,-4.3,-4.3,2.3,1,21,1258900,236,0
0.05,-0.31,1.1,0,4.433017,0,-3.9,-3.9,2.3,1,21,1259000,236,0
0.06,-0.3,1.1,0,4.433017,0,-3.7,-3.7,1.7,1,21,1259100,236,0
0.05,-0.29,1.1,0,4.433017,0,-3.7,-3.7,2.5,1,21,1259200,236,0
0.03,-0.28,1.1,0,5.3494253,0,-4.3,-4.3,2.4,1,21,1259300,236,0
0.06,-0.29,1.1,0,5.683097,0,-4.3,-4.3,2.3,1,21,1259400,236,0
0.07,-0.3,1.1,0,4.433017,0,-4.1,-4.1,-0.3,1,21,1259500,236,0
0.06,-0.31,1.1,0,4.433017,0,-3.5,-3.5,1.1,1,21,1259600,236,0
0.05,-0.3,1.1,0,4.433017,0,-3.5,-3.5,1.1,1,21,1259700,236,0
0.04,-0.3,1.1,0,5.3494253,0,-4.3,-4.3,1.7,1,21,1259800,236,0
0.06,-0.31,1.1,0,5.3494253,0,-4.5,-4.5,3.2,1,21,1259900,236,0
0.07,-0.32,1.1,0,3.5166883,0,-3.5,-3.5,2,1,21,1260000,236,0
0.06,-0.29,1.1,0,5.683097,0,-3.2,-3.2,3.1,1,21,1260100,236,0
0.03,-0.29,1.1,0,4.433017,0,-4,-4,2.8,1,21,1260200,236,0
0.05,-0.3,1.1,0,4.433017,0,-4.3,-4.3,3,1,21,1260300,236,0
0.07,-0.31,1.1,0,4.433017,0,-3.8,-3.8,3.4,1,21,1260400,236,0
0.06,-0.3,1.1,0,4.433017,0,-3.5,-3.5,2.7,1,21,1260500,236,0
0.03,-0.29,1.1,0,4.433017,0,-3.7,-3.7,1.7,1,21,1260600,236,0
0.05,-0.29,1.1,0,5.3494253,0,-4.1,-4.1,2.5,1,21,1260700,236,0
0.06,-0.3,1.1,0,4.433017,0,-4.5,-4.5,3.3,1,21,1260800,236,0
0.06,-0.31,1.1,0,4.7661552,0,-3.8,-3.8,1.6,1,21,1260900,236,0
0.04,-0.31,1.1,0,4.433017,0,-3.3,-3.3,1.4,1,21,1261000,236,0
0.04,-0.29,1.1,0,4.433017,0,-3.7,-3.7,0.8,1,21,1261100,236,0
0.05,-0.3,1.1,0,4.433017,0,-4.3,-4.3,2.4,1,21,1261200,236,0
0.06,-0.32,1.1,0,3.8497972,0,-4.1,-4.1,4,1,21,1261300,236,0
0.06,-0.31,1.1,0,4.7661552,0,-3.5,-3.5,2.4,1,21,1261400,236,0
0.05,-0.29,1.1,0,4.433017,0,-3.7,-3.7,2.4,1,21,1261500,236,0
0.04,-0.29,1.1,0,4.433017,0,-4.1,-4.1,2.5,1,21,1261600,236,0
0.05,-0.3,1.1,0,5.3494253,0,-4.1,-4.1,3,1,21,1261700,236,0
0.06,-0.3,1.1,0,4.7661552,0,-4.1,-4.1,2.9,1,21,1261800,236,0
0.06,-0.31,1.1,0,4.7661552,0,-3.6,-3.6,2.3,1,21,1261900,236,0
0.04,-0.3,1.1,0,4.7661552,0,-3.4,-3.4,1.2,1,21,1262000,236,0
0.05,-0.29,1.1,0,5.3494253,0,-3.8,-3.8,1.9,1,21,1262100,236,0
0.05,-0.29,1.1,0,4.433017,0,-4.6,-4.6,3.1,1,21,1262200,236,0
0.06,-0.32,1.1,0,4.433017,0,-4.4,-4.4,2.5,1,21,1262300,236,0
0.06,-0.31,1.1,0,4.7661552,0,-3.2,-3.2,2.4,1,21,1262400,236,0
0.05,-0.29,1.1,0,4.433017,0,-3.5,-3.5,2.1,1,21,1262500,236,0
0.04,-0.29,1.1,0,4.7661552,0,-4.2,-4.2,2.4,1,21,1262600,236,0
0.05,-0.31,1.1,0,4.433017,0,-4.4,-4.4,2.8,1,21,1262700,236,0
0.07,-0.31,1.1,0,3.8497972,0,-3.8,-3.8,2.5,1,21,1262800,236,0
0.06,-0.3,1.1,0,4.433017,0,-3.4,-3.4,2.1,1,21,1262900,236,0
0.03,-0.29,1.1,0,3.5166883,0,-3.5,-3.5,1.7,1,21,1263000,236,0
0.04,-0.29,1.1,0,4.433017,0,-4.2,-4.2,2.4,1,21,1263100,236,0
0.07,-0.3,1.1,0,5.3494253,0,-4.6,-4.6,2.7,1,21,1263200,236,0
0.07,-0.32,1.1,0,4.7661552,0,-4,-4,2.3,1,21,1263300,236,0
0.05,-0.3,1.1,0,4.433017,0,-3.2,-3.2,2.1,1,21,1263400,236,0
0.05,-0.28,1.1,0,5.3494253,0,-3.8,-3.8,2.2,1,21,1263500,236,0
0.05,-0.3,1.1,0,4.433017,0,-4.7,-4.7,3,1,21,1263600,236,0
0.06,-0.31,1.1,0,4.433017,0,-4.1,-4.1,3.1,1,21,1263700,236,0
0.06,-0.3,1.1,0,3.5166883,0,-3.4,-3.4,2.4,1,21,1263800,236,0
0.05,-0.29,1.1,0,5.683097,0,-3.7,-3.7,2.4,1,21,1263900,236,0
0.04,-0.29,1.1,0,4.433017,0,-4.2,-4.2,2.8,1,21,1264000,236,0
0.05,-0.3,1.1,0,4.433017,0,-4.1,-4.1,2.8,1,21,1264100,236,0
0.06,-0.3,1.1,0,4.433017,0,-3.8,-3.8,2.2,1,21,1264200,236,0
0.05,-0.3,1.1,0,5.683097,0,-3.7,-3.7,2,1,21,1264300,237,0
0.04,-0.3,1.1,0,4.7661552,0,-3.6,-3.6,1.9,1,21,1264400,237,0
0.05,-0.29,1.1,0,4.7661552,0,-4.1,-4.1,2,1,21,1264500,237,0
0.05,-0.31,1.1,0,5.3494253,0,-4.3,-4.3,2.4,1,21,1264600,237,0
0.05,-0.31,1.1,0,3.5166883,0,-3.7,-3.7,1.7,1,21,1264700,237,0
0.06,-0.3,1.1,0,4.7661552,0,-3.7,-3.7,2.2,1,21,1264800,237,0
0.05,-0.29,1.1,0,4.433017,0,-4.1,-4.1,2.4,1,21,1264900,237,0
0.04,-0.31,1.1,0,4.433017,0,-4.2,-4.2,2,1,21,1265000,237,0
0.06,-0.31,1.1,0,4.433017,0,-3.8,-3.8,2.2,1,21,1265100,237,0
0.07,-0.3,1.1,0,3.5166883,0,-3.8,-3.8,2,1,21,1265200,237,0
0.05,-0.3,1.1,0,4.433017,0,-4,-4,2.3,1,21,1265300,237,0
0.05,-0.3,1.1,0,4.433017,0,-3.8,-3.8,3,1,21,1265400,237,0
0.06,-0.3,1.1,0,4.433017,0,-3.9,-3.9,3.1,1,21,1265500,237,0
0.05,-0.3,1.1,0,4.433017,0,-4,-4,2.2,1,21,1265600,237,0
0.05,-0.32,1.1,0,4.433017,0,-3.7,-3.7,2.4,1,21,1265700,237,0
0.06,-0.3,1.1,0,4.433017,0,-3.6,-3.6,2.4,1,21,1265800,237,0
0.05,-0.3,1.1,0,3.8497972,0,-3.8,-3.8,1.8,1,21,1265900,237,0
0.05,-0.31,1.1,0,4.7661552,0,-4.3,-4.3,2.2,1,21,1266000,237,0
0.06,-0.3,1.1,0,4.7661552,0,-3.8,-3.8,2.8,1,21,1266100,237,0
0.06,-0.3,1.1,0,4.433017,0,-4.1,-4.1,3.7,1,21,1266200,237,0
0.04,-0.3,1.1,0,3.5166883,0,-4,-4,3,1,21,1266300,237,0
0.04,-0.3,1.1,0,4.433017,0,-3.8,-3.8,2.2,1,21,1266400,237,0
0.06,-0.29,1.1,0,4.433017,0,-4,-4,1.6,1,21,1266500,237,0
0.06,-0.3,1.1,0,3.5166883,0,-4.2,-4.2,1.4,1,21,1266600,237,0
0.04,-0.31,1.1,0,4.433017,0,-3.9,-3.9,2,1,21,1266700,237,0
0.05,-0.31,1.1,0,4.433017,0,-3.7,-3.7,1.4,1,21,1266800,237,0
0.06,-0.3,1.1,0,4.7661552,0,-3.8,-3.8,2.7,1,21,1266900,237,0
0.05,-0.31,1.1,0,4.7661552,0,-4.3,-4.3,3.3,1,21,1267000,237,0
0.05,-0.32,1.1,0,4.433017,0,-3.8,-3.8,3.6,1,21,1267100,237,0
0.04,-0.3,1.1,0,4.433017,0,-4,-4,4.4,1,21,1267200,237,0
0.05,-0.3,1.1,0,4.433017,0,-4.1,-4.1,2,1,21,1267300,237,0
0.05,-0.3,1.1,0,5.3494253,0,-3.8,-3.8,3.4,1,21,1267400,237,0
0.05,-0.29,1.1,0,4.433017,0,-3.7,-3.7,4.2,1,21,1267500,237,0
0.06,-0.29,1.1,0,4.433017,0,-4,-4,1.7,1,21,1267600,237,0
0.06,-0.3,1.1,0,4.433017,0,-4.1,-4.1,0,1,21,1267700,237,0
0.05,-0.32,1.1,0,4.433017,0,-3.8,-3.8,0.4,1,21,1267800,237,0
0.07,-0.31,1.1,0,4.7661552,0,-3.8,-3.8,2.2,1,21,1267900,237,0
0.07,-0.32,1.1,0,3.5166883,0,-4.1,-4.1,3.5,1,21,1268000,237,0
0.06,-0.32,1.09,0,4.433017,0,-3.7,-3.7,3.2,1,21,1268100,237,0
-1.4,-2.19,5.36,0,5.3494253,0,-0.6,-0.6,31.4,1,21,1268200,237,0
0.05,-0.22,5.76,0,6.2664185,0,-13.9,-13.9,-40.8,2,21,1268300,237,0
-0.07,-0.51,5.61,0,8.099641,0,2.9,2.9,30.8,2,21,1268400,237,0
-0.07,-0.47,5.19,0,10.767499,0,0.4,0.4,55.3,2,21,1268500,237,0
-0.2,-0.48,4.83,0,12.935418,0,2.9,2.9,87.9,2,21,1268600,237,0
-0.29,-0.52,4.59,0,15.687638,0,5.2,5.2,110.8,2,21,1268700,237,0
-0.28,-0.59,4.4,0,19.275078,0,1.2,1.2,130.3,2,21,1268800,237,0
-0.2,-0.53,4.15,0,21.695282,0,6,6,146.4,2,21,1268900,237,0
-0.09,-0.5,3.91,0,25.367992,0,2.8,2.8,187.4,2,21,1269000,237,0
-0.1,-0.67,3.68,0,30.2118,0,-14.3,-14.3,234.5,2,21,1269100,237,0
-0.03,-0.64,3.47,0,36.060257,0,-39.9,-39.9,286.5,2,21,1269200,237,0
0.03,-0.4,3.29,0,40.57424,0,-13.6,-13.6,318.4,2,21,1269300,237,0
0.02,-0.61,3.18,0,44.58854,0,2.7,2.7,357,2,21,1269400,237,0
-0.41,-0.43,2.95,0,51.617294,0,-20.2,-20.2,388.4,2,21,1269500,237,0
0.23,-0.56,1.21,0,58.399395,0,9.9,9.9,407.9,2,21,1269600,237,0
0.12,-0.59,0.06,0,64.1797,0,-20.4,-20.4,434.5,2,21,1269700,237,0
-0.2,-0.25,-0.42,0,70.299484,0,-14.5,-14.5,447,2,21,1269800,237,0
0.08,-0.45,-0.3,0,78.01662,0,-26.6,-26.6,453,2,21,1269900,237,0
-0.19,-0.62,-0.33,0,82.54885,0,-26.4,-26.4,447.6,2,21,1270000,237,0
0.02,-0.4,-0.24,0,88.09099,0,-6,-6,438.4,2,21,1270100,237,0
-0.06,-0.53,-0.27,0,93.55234,0,2.8,2.8,420.3,2,21,1270200,237,0
-0.13,-0.34,-0.16,0,99.35274,0,3.7,3.7,400.9,2,21,1270300,237,0
-0.1,-0.47,-0.19,0,105.829155,0,-4.5,-4.5,374.2,2,21,1270400,237,0
-0.01,-0.55,-0.17,0,109.44782,0,-1.6,-1.6,367.5,2,21,1270500,237,0
-0.1,-0.53,-0.17,0,113.15217,0,-14,-14,381,2,21,1270600,237,0
-0.17,-0.61,-0.19,65,117.69976,0,-22.1,-22.1,351.8,3,21,1270700,237,0
-0.27,-0.51,0.03,46,122.67076,0,0,0,333,3,21,1270800,237,0
-0.12,-0.44,-0.02,1,125.95775,0,3.4,3.4,336.2,3,21,1270900,237,0
-0.05,-0.48,-0.11,83,130.59549,0,-4.8,-4.8,327.6,3,21,1271000,237,0
0.07,-0.43,-0.15,135,134.22281,0,20.9,20.9,312.8,3,21,1271100,237,0
-0.5,-0.92,-0.12,205,138.27345,0,0.4,0.4,318,3,21,1271200,237,0
-0.05,-0.53,-0.13,200,141.39659,0,-12.7,-12.7,311.9,3,21,1271300,238,0
-0.04,-0.51,-0.07,112,144.09889,0,-14.6,-14.6,308.8,3,21,1271400,238,0
-0.08,-0.56,-0.07,170,147.47736,0,-12.3,-12.3,300.9,3,21,1271500,238,0
-0.13,-0.61,-0.12,14,150.60327,0,-9.6,-9.6,285,3,21,1271600,238,0
-0.14,-0.48,-0.02,223,152.96951,0,1.4,1.4,271.3,3,21,1271700,238,0
-0.08,-0.52,0,113,155.1678,0,8.5,8.5,270.9,3,21,1271800,238,0
-0.1,-0.54,-0.02,241,156.68942,0,4,4,269.2,3,21,1271900,238,0
-0.04,-0.5,-0.02,129,158.54988,0,9.4,9.4,260.7,3,21,1272000,238,0
-0.14,-0.58,-0.02,85,160.74884,0,7.9,7.9,259.8,3,21,1272100,238,0
-0.11,-0.52,-0.01,199,162.18646,0,-2,-2,264.1,3,21,1272200,238,0
-0.01,-0.61,-0.02,240,163.45566,0,-8.4,-8.4,262.5,3,21,1272300,238,0
-0.05,-0.52,0.01,141,165.31732,0,-15.1,-15.1,261.2,3,21,1272400,238,0
0,-0.57,0,35,166.24803,0,-22.3,-22.3,254.9,3,21,1272500,238,0
-0.09,-0.53,0,35,167.17932,0,-20,-20,245.6,3,21,1272600,238,0
-0.06,-0.56,0.01,178,169.04115,0,-9,-9,241.4,3,21,1272700,238,0
-0.1,-0.55,0.01,178,169.88782,0,-9.5,-9.5,243.4,3,21,1272800,238,0
-0.16,-0.43,0.03,6,169.88782,0,-6,-6,237.8,3,21,1272900,238,0
-0.06,-0.52,0,195,169.88782,0,14.2,14.2,228.5,3,21,1273000,238,0
-0.01,-0.52,0.02,6,170.81894,0,15.6,15.6,235.1,3,21,1273100,238,0
0,-0.51,0.02,6,170.81894,0,-2,-2,238.1,3,21,1273200,238,0
-0.05,-0.57,0.01,6,170.81894,0,-8.8,-8.8,231.7,3,21,1273300,238,0
0.95,-2.62,-1.25,0,169.88782,0,17.5,17.5,313.6,4,21,1273400,238,0
-0.12,0.55,0.08,0,174.54526,0,-21.8,-21.8,217.6,4,21,1273500,238,0
-0.41,-1.53,-0.85,0,176.4089,0,0.2,0.2,169.5,4,21,1273600,238,0
0.4,-1.12,-0.58,0,174.54526,0,17.1,17.1,17.8,4,21,1273700,238,0
2.11,0.14,-0.23,0,184.71376,0,0.1,0.1,-29.3,4,21,1273800,238,0
2.6,-0.89,0.49,0,184.12033,0,-98.4,-98.4,-273.5,4,21,1273900,238,0
5.9,-2.08,2.2,0,181.32315,0,246.1,246.1,-219.7,4,21,1274000,238,0
-3.99,-5.42,-4.18,0,168.44862,0,676.9,676.9,-339.4,4,21,1274100,238,0
-0.2,-1.56,-0.34,0,168.19505,0,-353.4,-353.4,-48,5,21,1274200,238,0
-3.86,1.09,-0.07,0,168.19505,0,-366.8,-366.8,-120.4,6,21,1274300,238,0
-1.78,-0.54,0.24,0,166.67125,0,-196,-196,326.3,6,21,1274400,238,0
-0.89,0.68,0.01,0,164.80933,0,16.7,16.7,-16,6,21,1274500,238,0
0.59,-1.47,-0.94,0,163.87875,0,-117.4,-117.4,-187,6,21,1274600,238,0
0.99,0.79,0.01,0,161.17183,0,-46.6,-46.6,-149.1,6,21,1274700,238,0
0.27,0.27,-0.16,0,160.57974,0,214.4,214.4,11.4,6,21,1274800,238,0
0.04,0,-0.82,0,159.3109,0,293.9,293.9,113.7,6,21,1274900,238,0
-0.92,-0.81,-0.68,0,159.3109,0,118.6,118.6,95.9,6,21,1275000,238,0
-0.83,-0.49,-0.6,0,157.45032,0,7.3,7.3,40.5,7,21,1275100,238,0
-0.52,-0.44,-1.12,0,155.59006,0,56.2,56.2,27,7,21,1275200,238,0
0.33,-0.43,-0.95,0,154.66031,0,166.5,166.5,43.4,7,21,1275300,238,0
0.22,-0.64,-0.76,0,155.25204,0,131.5,131.5,5.1,7,21,1275400,238,0
-0.32,-0.92,-0.44,0,155.25204,0,34,34,37,7,21,1275500,238,0
-0.55,-0.91,-0.42,0,154.66031,0,-28.4,-28.4,64.3,7,21,1275600,239,0
-0.77,-0.59,-0.53,0,151.61739,0,10.3,10.3,52.2,7,21,1275700,239,0
-0.3,-0.63,-0.38,0,149.75816,0,78.1,78.1,37.5,7,21,1275800,239,0
0.49,-0.79,-0.4,0,148.82895,0,-23.5,-23.5,-208.7,7,21,1275900,239,0
0.01,-0.58,-0.63,0,147.8998,0,48.3,48.3,-145.6,7,21,1276000,239,0
0.34,-0.62,-0.77,0,146.97023,0,61.2,61.2,-111.8,7,21,1276100,239,0
0.35,-0.9,-0.78,0,145.11237,0,-37.3,-37.3,-141.2,7,21,1276200,239,0
0.49,-0.54,-0.7,0,145.11237,0,-92.9,-92.9,-147.9,7,21,1276300,239,0
0.34,-0.33,-0.75,0,144.2677,0,-66.1,-66.1,-141.1,7,21,1276400,239,0
0.01,-0.03,-0.75,0,142.4098,0,18.2,18.2,-85.1,7,21,1276500,239,0
-0.09,-0.12,-0.79,0,141.48125,0,24.6,24.6,-66.3,7,21,1276600,239,0
-0.14,-0.25,-0.92,0,139.62384,0,20.4,20.4,-48.7,7,21,1276700,239,0
-0.1,-0.22,-0.76,0,137.76678,0,15.9,15.9,-47.9,7,21,1276800,239,0
-0.04,-0.2,-0.87,0,136.83862,0,8.3,8.3,-59.1,7,21,1276900,239,0
0.07,-0.26,-0.92,0,135.06665,0,23.7,23.7,-57.1,7,21,1277000,239,0
0.11,-0.3,-0.93,0,135.06665,0,26.1,26.1,-67.7,7,21,1277100,239,0
0.1,-0.27,-0.97,0,133.2104,0,20.1,20.1,-71.3,7,21,1277200,239,0
-0.02,-0.28,-0.96,0,133.2104,0,37.5,37.5,-42,7,21,1277300,239,0
-0.27,-0.33,-0.92,0,132.28265,0,37.9,37.9,0.3,7,21,1277400,239,0
-0.35,-0.45,-0.81,0,131.35448,0,19.4,19.4,25.4,7,21,1277500,239,0
-0.34,-0.54,-0.89,0,128.57147,0,8.2,8.2,52.4,7,21,1277600,239,0
-0.26,-0.63,-0.94,0,127.30705,0,-30.2,-30.2,74.5,7,21,1277700,239,0
-0.02,-0.52,-1.11,0,126.7169,0,-53.1,-53.1,108.5,7,21,1277800,239,0
0.09,-0.32,-0.85,0,125.5367,0,-58.7,-58.7,126.4,7,21,1277900,239,0
0.13,-0.23,-0.93,0,124.019135,0,-31.8,-31.8,145.7,7,21,1278000,239,0
0,-0.29,-0.87,0,123.682144,0,8.3,8.3,175.4,7,21,1278100,239,0
-0.07,-0.3,-1.16,0,122.754745,0,58.6,58.6,207.2,7,21,1278200,239,0
0.04,-0.47,-0.8,0,120.9012,0,85.4,85.4,218.6,7,21,1278300,239,0
0.02,-0.73,-0.69,0,119.974045,0,51.1,51.1,222.2,7,21,1278400,239,0
-0.27,-0.89,-0.84,0,120.31142,0,-0.9,-0.9,239.6,7,21,1278500,239,0
-0.39,-0.74,-1.34,0,119.04748,0,-57.7,-57.7,261.4,7,21,1278600,239,0
0,-0.49,-0.68,0,118.121,0,-50.7,-50.7,305,7,21,1278700,239,0
-0.13,-0.49,-0.53,0,116.35221,0,-82.3,-82.3,323.4,7,21,1278800,239,0
-0.1,-0.23,-0.91,0,116.35221,0,-78.6,-78.6,328.3,7,21,1278900,239,0
0.37,-0.33,-1.01,0,114.499306,0,-72.4,-72.4,318,7,21,1279000,239,0
0.24,-0.29,-0.85,0,114.499306,0,-62.1,-62.1,309.4,7,21,1279100,239,0
0.3,-0.33,-0.83,0,112.64673,0,-23.2,-23.2,305.5,7,21,1279200,239,0
0.22,-0.62,-0.82,0,112.31011,0,-51.6,-51.6,268.5,7,21,1279300,239,0
0.03,-0.69,-0.89,0,110.79448,0,-11.3,-11.3,270.6,7,21,1279400,239,0
-0.31,-0.67,-0.87,0,111.72081,0,-29.8,-29.8,282,7,21,1279500,239,0
-0.48,-0.39,-0.8,0,109.86873,0,-36.6,-36.6,281.8,7,21,1279600,239,0
-0.34,-0.58,-0.84,0,108.10135,0,57.7,57.7,290.8,7,21,1279700,239,0
-0.43,-0.25,-0.64,0,107.764885,0,68.3,68.3,299.5,7,21,1279800,239,0
-0.23,-0.17,-0.72,0,105.913506,0,41.6,41.6,262,7,21,1279900,239,0
0.01,-0.26,-0.83,0,105.32457,0,55.8,55.8,213.8,7,21,1280000,239,0
0.16,-0.65,-0.99,0,104.062454,0,72.9,72.9,169.9,7,21,1280100,240,0
0.14,-0.72,-1.08,0,104.062454,0,-69.5,-69.5,129.9,7,21,1280200,240,0
-0.03,-0.41,-0.76,0,103.137314,0,-145.9,-145.9,113.9,7,21,1280300,240,0
0.49,-0.09,-0.73,0,101.28676,0,-94.4,-94.4,97.5,7,21,1280400,240,0
0.2,0.02,-0.63,0,101.28676,0,-17.3,-17.3,76.7,7,21,1280500,240,0
0.23,-0.07,-0.79,0,99.43653,0,28.3,28.3,57,7,21,1280600,240,0
0.07,-0.22,-0.9,0,99.43653,0,52.6,52.6,44.3,7,21,1280700,240,0
0,-0.47,-0.56,0,96.746346,0,46.6,46.6,23.3,7,21,1280800,240,0
-0.02,-0.42,-0.73,0,96.746346,0,-24.9,-24.9,-6.9,7,21,1280900,240,0
0.5,-0.25,-0.73,0,95.82134,0,-69.1,-69.1,-31.4,7,21,1281000,240,0
0.15,-0.02,-0.78,0,94.89693,0,-32.2,-32.2,-49.9,7,21,1281100,240,0
0.02,-0.07,-0.82,0,93.047844,0,41.3,41.3,-36.9,7,21,1281200,240,0
-0.2,-0.15,-0.72,0,91.19959,0,59.9,59.9,-20.1,7,21,1281300,240,0
-0.35,-0.43,-0.79,0,91.53552,0,12.4,12.4,-59.9,7,21,1281400,240,0
-0.21,-0.23,-0.76,0,90.35931,0,-57.9,-57.9,-94,7,21,1281500,240,0
-0.29,-0.32,-0.64,0,90.35931,0,-22.1,-22.1,-87.1,7,21,1281600,240,0
-0.27,-0.15,-1.21,0,89.434875,0,36.5,36.5,-61.9,7,21,1281700,240,0
-0.19,-0.58,-1.44,0,87.92308,0,40.2,40.2,-41.9,7,21,1281800,240,0
-0.17,-0.36,-0.79,0,86.66308,0,37.5,37.5,-18.5,7,21,1281900,240,0
