AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
-0.0,0.0,1.01,0.08,0.04,0.02,130507.0,131337.0,130437.0
-0.0,0.0,1.01,-0.11,0.04,0.02,130501.0,131336.0,130440.0
0.0,0.0,1.01,-0.17,-0.02,-0.04,130497.0,131340.0,130439.0
0.0,0.0,1.01,-0.17,0.04,-0.1,130498.0,131336.0,130434.0
-0.0,0.0,1.0,-0.05,0.04,-0.04,130496.0,131330.0,130447.0
-0.0,-0.0,1.01,-0.05,-0.08,0.14,130504.0,131344.0,130432.0
0.0,0.0,1.01,-0.05,-0.02,-0.1,130503.0,131341.0,130445.0
0.0,-0.0,1.01,-0.05,-0.02,0.02,130497.0,131341.0,130445.0
-0.0,-0.0,1.01,0.02,-0.08,0.02,130503.0,131341.0,130435.0
-0.0,0.0,1.01,-0.05,0.04,-0.1,130513.0,131348.0,130442.0
0.0,-0.0,1.01,-0.11,0.04,-0.04,130512.0,131330.0,130432.0
0.0,0.0,1.01,-0.11,-0.02,-0.04,130506.0,131339.0,130439.0
-0.0,0.0,1.01,0.02,0.04,-0.1,130509.0,131331.0,130431.0
-0.0,0.0,1.01,-0.05,-0.02,0.02,130503.0,131338.0,130436.0
0.0,-0.0,1.01,-0.11,0.04,0.02,130506.0,131335.0,130440.0
0.0,0.0,1.0,-0.17,-0.08,-0.1,130505.0,131343.0,130437.0
0.0,0.0,1.01,-0.17,-0.08,-0.04,130508.0,131344.0,130442.0
0.0,-0.0,1.01,0.08,-0.02,0.02,130507.0,131343.0,130445.0
-0.0,0.0,1.0,0.08,0.04,0.08,130496.0,131333.0,130449.0
-0.0,0.0,1.01,-0.05,-0.02,-0.1,130511.0,131332.0,130440.0
-0.0,-0.0,1.01,-0.11,-0.02,-0.1,130505.0,131339.0,130444.0
-0.0,-0.0,1.01,0.08,-0.08,0.02,130515.0,131346.0,130443.0
0.0,-0.0,1.01,0.02,0.1,-0.1,130507.0,131343.0,130444.0
-0.0,0.0,1.0,-0.05,0.04,0.02,130502.0,131342.0,130440.0
-0.0,0.0,1.01,0.08,-0.02,0.08,130498.0,131337.0,130439.0
-0.0,0.0,1.01,-0.11,-0.02,-0.1,130504.0,131332.0,130442.0
-0.0,0.0,1.01,0.08,-0.02,0.02,130491.0,131333.0,130437.0
-0.0,0.0,1.01,0.02,-0.08,-0.04,130502.0,131331.0,130445.0
-0.0,0.0,1.0,-0.11,0.04,-0.04,130493.0,131329.0,130434.0
-0.0,0.0,1.01,-0.11,-0.02,0.02,130502.0,131342.0,130434.0
0.0,0.0,1.01,-0.05,0.04,-0.04,130499.0,131346.0,130436.0
-0.0,0.0,1.01,0.08,0.04,-0.1,130497.0,131338.0,130439.0
0.0,-0.0,1.01,-0.05,-0.02,-0.1,130513.0,131337.0,130427.0
0.0,0.0,1.01,0.02,-0.02,-0.1,130511.0,131334.0,130440.0
0.0,0.0,1.01,0.02,0.04,0.02,130509.0,131333.0,130437.0
0.0,0.0,1.01,-0.05,-0.08,0.02,130511.0,131337.0,130439.0
-0.0,-0.0,1.01,0.08,-0.02,0.02,130506.0,131348.0,130444.0
0.0,-0.0,1.01,-0.05,-0.02,0.08,130512.0,131341.0,130439.0
-0.0,-0.0,1.01,-0.05,0.04,-0.04,130505.0,131344.0,130440.0
-0.0,-0.0,1.0,0.02,0.04,-0.04,130507.0,131337.0,130439.0
-0.0,-0.0,1.0,0.14,-0.14,-0.1,130500.0,131351.0,130442.0
0.01,0.0,1.01,-0.05,-0.38,1.67,130513.0,131343.0,130429.0
-0.0,0.0,1.0,-0.05,0.04,0.02,130509.0,131337.0,130445.0
0.0,0.0,1.01,0.02,-0.02,0.08,130509.0,131329.0,130434.0
0.0,-0.0,1.0,-0.11,-0.02,0.02,130511.0,131336.0,130448.0
-0.0,0.0,1.01,0.02,-0.02,-0.1,130506.0,131349.0,130446.0
-0.0,0.0,1.01,-0.17,0.1,0.02,130512.0,131337.0,130432.0
0.0,0.0,1.01,-0.05,-0.02,0.02,130510.0,131336.0,130446.0
0.0,0.0,1.01,-0.05,-0.02,-0.16,130502.0,131327.0,130450.0
-0.0,-0.0,1.0,0.02,-0.02,0.02,130502.0,131337.0,130454.0
0.0,-0.0,1.01,0.02,0.1,0.02,130498.0,131331.0,130446.0
-0.0,-0.0,1.0,-0.05,-0.08,-0.1,130502.0,131331.0,130444.0
-0.0,0.0,1.01,0.02,0.04,-0.04,130498.0,131332.0,130450.0
-0.0,-0.0,1.01,0.02,-0.02,-0.1,130501.0,131338.0,130447.0
-0.0,-0.0,1.01,-0.05,0.04,-0.1,130503.0,131339.0,130445.0
-0.0,0.0,1.01,-0.05,0.04,0.08,130510.0,131328.0,130441.0
-0.0,0.0,1.01,-0.05,0.04,0.02,130504.0,131328.0,130446.0
-0.0,-0.0,1.01,0.02,-0.02,0.14,130499.0,131333.0,130430.0
0.0,0.0,1.01,-0.05,0.04,0.08,130504.0,131336.0,130446.0
-0.0,-0.0,1.01,-0.05,0.04,-0.04,130505.0,131337.0,130435.0
-0.0,0.0,1.0,-0.17,-0.02,0.02,130508.0,131343.0,130439.0
0.0,-0.0,1.01,-0.05,-0.02,-0.04,130506.0,131335.0,130432.0
-0.0,-0.0,1.01,0.02,0.1,-0.1,130514.0,131334.0,130434.0
-0.0,0.0,1.01,-0.11,-0.08,-0.1,130505.0,131351.0,130425.0
-0.0,0.0,1.01,-0.05,-0.08,0.02,130501.0,131335.0,130435.0
-0.0,0.0,1.0,0.08,0.1,-0.1,130503.0,131334.0,130431.0
0.0,0.0,1.01,-0.17,0.1,0.02,130512.0,131332.0,130445.0
-0.0,0.0,1.01,0.02,0.1,-0.16,130502.0,131332.0,130445.0
-0.0,0.0,1.0,-0.11,0.04,-0.1,130509.0,131332.0,130437.0
-0.0,0.0,1.01,0.14,0.04,0.08,130508.0,131334.0,130441.0
-0.0,0.0,1.01,-0.05,-0.02,0.02,130508.0,131345.0,130432.0
0.0,0.0,1.01,0.02,-0.02,-0.04,130506.0,131338.0,130432.0
0.0,0.0,1.01,-0.11,-0.02,0.02,130509.0,131337.0,130434.0
-0.0,-0.0,1.01,-0.11,0.04,-0.04,130507.0,131340.0,130430.0
-0.0,0.0,1.01,-0.05,0.1,-0.1,130504.0,131325.0,130450.0
-0.0,0.0,1.0,-0.11,-0.08,0.08,130506.0,131341.0,130447.0
0.0,0.0,1.01,0.02,-0.02,-0.04,130506.0,131335.0,130437.0
-0.0,-0.0,1.01,0.14,0.04,0.08,130497.0,131339.0,130446.0
0.0,-0.0,1.0,-0.11,0.04,-0.04,130499.0,131340.0,130449.0
-0.0,-0.0,1.0,-0.11,-0.02,0.08,130502.0,131333.0,130436.0
0.01,-0.0,1.01,-0.05,-0.32,1.73,130506.0,131341.0,130439.0
-0.0,0.0,1.01,-0.05,-0.51,5.14,130513.0,131344.0,130432.0
0.0,0.0,1.01,-0.17,-0.32,4.66,130516.0,131343.0,130438.0
0.0,-0.0,1.0,-0.11,-0.26,3.86,130518.0,131338.0,130450.0
0.01,0.0,1.01,0.14,-0.38,4.11,130517.0,131341.0,130440.0
0.01,0.0,1.0,-0.11,-0.26,3.13,130514.0,131340.0,130441.0
-0.01,0.0,1.01,0.02,-0.14,5.57,130520.0,131331.0,130430.0
-0.01,0.0,1.0,-0.11,0.04,3.07,130511.0,131338.0,130448.0
-0.01,-0.0,1.0,-0.11,-0.02,2.89,130515.0,131337.0,130450.0
-0.0,0.01,1.01,-0.23,0.04,1.91,130512.0,131338.0,130439.0
0.0,0.0,1.01,0.02,-0.02,0.51,130513.0,131332.0,130434.0
0.0,0.0,1.01,-0.05,-0.14,0.45,130517.0,131326.0,130435.0
-0.0,0.0,1.01,-0.17,0.04,0.63,130512.0,131331.0,130441.0
0.0,0.0,1.01,-0.17,0.1,0.81,130518.0,131330.0,130454.0
0.0,-0.0,1.0,-0.11,0.17,1.42,130518.0,131337.0,130449.0
0.01,0.0,1.0,-0.05,0.04,1.3,130521.0,131334.0,130446.0
-0.0,-0.0,1.01,-0.17,-0.02,1.73,130513.0,131340.0,130438.0
-0.0,0.0,1.01,-0.05,-0.08,2.64,130510.0,131331.0,130439.0
0.0,-0.0,1.0,-0.17,-0.08,2.03,130517.0,131332.0,130448.0
0.0,0.0,1.01,-0.05,-0.14,2.4,130518.0,131329.0,130458.0
-0.0,0.0,1.01,-0.05,-0.02,1.0,130515.0,131327.0,130446.0
0.0,0.0,1.01,0.08,0.04,1.3,130518.0,131338.0,130453.0
-0.0,0.0,1.01,-0.11,-0.02,1.42,130520.0,131328.0,130431.0
0.01,0.01,1.02,-0.11,0.1,-0.04,130521.0,131331.0,130434.0
0.0,-0.0,1.01,0.14,-0.02,0.14,130528.0,131334.0,130450.0
0.01,0.0,1.01,-0.11,-0.08,0.57,130526.0,131333.0,130455.0
0.0,-0.0,1.01,0.08,-0.08,0.08,130521.0,131342.0,130450.0
-0.01,-0.01,0.99,-0.47,1.45,-0.53,130521.0,131333.0,130434.0
-0.02,-0.0,1.0,-0.23,0.35,-0.65,130524.0,131344.0,130448.0
0.02,-0.02,1.02,4.04,-8.37,-13.15,130523.0,131337.0,130444.0
0.07,-0.02,0.83,0.56,-3.68,-1.99,130520.0,131335.0,130453.0
-0.13,-0.01,1.06,-2.18,-2.46,21.48,130520.0,131337.0,130439.0
-0.07,-0.01,0.95,1.17,-19.77,-14.73,130515.0,131333.0,130441.0
0.01,-0.0,1.0,-4.8,-4.83,1.85,130514.0,131327.0,130446.0
0.04,0.0,1.0,10.44,7.3,-1.93,130517.0,131329.0,130449.0
0.0,0.01,1.01,0.32,-0.44,-3.64,130513.0,131320.0,130454.0
0.02,-0.01,1.03,0.5,27.73,1.48,130504.0,131323.0,130436.0
-0.03,-0.01,1.01,-1.2,83.03,6.12,130474.0,131330.0,130441.0
-0.1,-0.01,0.98,11.17,55.23,6.61,130441.0,131332.0,130437.0
-0.19,-0.05,1.18,12.64,30.41,0.27,130421.0,131325.0,130440.0
-0.16,-0.0,1.27,-36.14,-37.33,-26.32,130397.0,131340.0,130435.0
-0.05,0.03,0.86,-57.18,-29.23,-21.38,130375.0,131339.0,130433.0
-0.11,0.03,0.96,-46.27,-33.13,-18.27,130368.0,131342.0,130435.0
0.01,-0.12,0.98,-13.7,11.32,-6.81,130359.0,131341.0,130424.0
-0.12,-0.1,1.32,-79.62,-35.93,-25.95,130337.0,131355.0,130429.0
-0.04,-0.05,0.72,-67.36,-25.2,-28.45,130341.0,131362.0,130432.0
-0.05,-0.21,1.23,-49.44,-62.64,-25.71,130342.0,131363.0,130432.0
0.01,-0.21,1.11,-97.0,-70.75,-27.23,130362.0,131358.0,130436.0
0.03,-0.16,0.78,-100.9,-55.63,-28.82,130383.0,131370.0,130435.0
0.18,-0.32,0.88,-53.83,19.13,4.47,130385.0,131368.0,130442.0
-0.07,-0.38,1.24,-81.33,3.64,-5.04,130374.0,131374.0,130435.0
0.06,-0.33,0.77,-107.3,-31.24,-36.14,130399.0,131376.0,130442.0
0.14,-0.44,0.88,-79.68,26.38,-7.17,130393.0,131373.0,130457.0
0.04,-0.55,1.03,-92.79,39.92,-17.78,130382.0,131371.0,130440.0
0.08,-0.41,1.05,-143.83,-5.14,-27.05,130381.0,131380.0,130437.0
0.12,-0.58,0.54,-127.85,45.23,-0.16,130377.0,131379.0,130434.0
-0.0,-0.67,0.83,-103.64,13.09,-4.67,130374.0,131375.0,130446.0
-0.06,-0.64,0.78,-119.8,-37.33,-49.37,130387.0,131379.0,130425.0
0.25,-0.65,0.5,-111.75,-40.08,-27.97,130400.0,131383.0,130442.0
0.11,-0.79,0.56,-64.68,-26.24,-5.22,130421.0,131378.0,130435.0
0.13,-0.83,0.71,-85.96,-29.71,-14.25,130417.0,131369.0,130439.0
0.14,-0.77,0.58,-100.47,-41.42,-12.36,130432.0,131380.0,130439.0
0.23,-0.8,0.31,-97.55,-38.49,-3.76,130446.0,131373.0,130445.0
0.09,-0.88,0.43,-71.14,-6.05,0.2,130443.0,131375.0,130434.0
0.16,-0.84,0.47,-97.55,-37.58,-19.67,130454.0,131391.0,130436.0
0.24,-0.9,0.27,-100.84,-37.33,-27.11,130461.0,131388.0,130422.0
0.29,-0.91,0.25,-90.41,-37.15,-8.88,130472.0,131388.0,130438.0
0.2,-0.89,0.14,-84.56,-3.98,-10.83,130468.0,131387.0,130438.0
0.29,-0.92,0.15,-56.88,-14.59,-8.7,130476.0,131385.0,130434.0
0.28,-0.96,0.19,-54.19,-10.44,8.68,130476.0,131378.0,130429.0
0.17,-0.96,0.2,-65.47,-32.7,1.48,130480.0,131378.0,130441.0
0.21,-0.92,0.09,-77.55,-41.24,-7.84,130494.0,131382.0,130433.0
0.34,-0.92,-0.14,-45.66,-12.15,3.8,130481.0,131391.0,130429.0
0.27,-0.99,-0.05,-23.89,8.82,17.52,130492.0,131376.0,130437.0
0.19,-0.97,-0.04,-19.98,7.6,2.7,130481.0,131368.0,130426.0
0.22,-0.95,0.01,-12.42,-3.49,-0.77,130478.0,131388.0,130432.0
0.27,-0.96,-0.05,-3.64,3.15,4.66,130478.0,131388.0,130428.0
0.21,-0.99,0.01,0.99,5.35,6.73,130470.0,131378.0,130437.0
0.21,-0.97,0.03,-7.24,-10.2,-3.52,130468.0,131386.0,130431.0
0.25,-0.96,-0.04,1.84,2.97,5.94,130465.0,131382.0,130432.0
0.21,-0.98,0.05,-0.72,0.96,-0.77,130473.0,131377.0,130428.0
0.26,-0.98,-0.03,0.99,9.74,0.33,130469.0,131374.0,130428.0
0.21,-0.99,0.04,2.82,0.04,1.67,130477.0,131379.0,130427.0
0.2,-0.98,-0.01,-2.79,-0.38,-0.77,130481.0,131379.0,130436.0
0.24,-0.97,0.01,-4.74,-4.47,-2.11,130485.0,131381.0,130443.0
0.24,-0.96,-0.03,0.14,-2.88,-0.28,130478.0,131388.0,130439.0
0.24,-0.96,-0.02,3.31,2.73,2.09,130472.0,131392.0,130437.0
0.21,-0.99,0.01,7.58,5.84,1.67,130477.0,131383.0,130434.0
0.23,-0.99,0.02,2.33,9.01,3.68,130476.0,131381.0,130428.0
0.21,-0.98,0.04,2.33,-3.49,3.98,130479.0,131383.0,130431.0
0.25,-0.96,-0.02,-0.66,-5.63,-2.48,130475.0,131388.0,130436.0
0.22,-0.97,0.0,8.67,5.23,7.09,130475.0,131381.0,130452.0
0.22,-0.95,0.01,10.02,3.21,6.06,130469.0,131385.0,130428.0
0.23,-0.99,0.01,16.54,5.23,9.78,130470.0,131383.0,130437.0
0.2,-1.01,0.04,12.15,6.02,7.7,130467.0,131387.0,130434.0
0.23,-0.97,-0.02,23.61,13.03,15.14,130469.0,131380.0,130438.0
0.19,-0.94,-0.01,39.83,-0.69,17.16,130453.0,131385.0,130442.0
0.15,-0.95,0.12,30.93,2.54,15.08,130452.0,131388.0,130432.0
0.23,-0.95,0.04,58.61,21.81,7.83,130450.0,131373.0,130435.0
0.2,-0.93,0.08,59.41,35.84,30.63,130434.0,131376.0,130426.0
0.12,-0.9,0.17,66.78,36.51,33.62,130427.0,131384.0,130431.0
0.08,-0.93,0.24,62.09,19.25,26.79,130419.0,131386.0,130445.0
0.15,-0.93,0.2,62.27,6.51,34.23,130405.0,131384.0,130436.0
0.08,-0.95,0.29,69.71,2.79,33.56,130394.0,131379.0,130427.0
0.06,-0.92,0.29,66.97,1.57,23.25,130383.0,131379.0,130432.0
0.05,-0.9,0.4,68.25,0.71,22.58,130377.0,131381.0,130450.0
0.05,-0.87,0.31,64.71,0.53,15.45,130375.0,131386.0,130447.0
0.07,-0.88,0.42,83.06,10.78,25.33,130364.0,131377.0,130443.0
-0.05,-0.9,0.59,69.22,3.46,19.78,130351.0,131378.0,130434.0
0.04,-0.82,0.42,69.34,6.75,8.68,130354.0,131376.0,130428.0
-0.01,-0.82,0.55,77.39,-1.66,18.25,130353.0,131371.0,130430.0
0.04,-0.77,0.48,88.25,6.87,13.01,130343.0,131369.0,130442.0
-0.07,-0.75,0.66,98.12,6.93,20.14,130334.0,131372.0,130435.0
